,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Labels,Numeric_Labels
193,2008.0,2.15,1.13,0.07,0.59,3.94,57.0,910.0,H,1
194,2007.0,0.9,1.76,0.92,0.37,3.94,65.0,72.0,H,1
195,2009.0,2.09,1.35,0.04,0.02,3.9,18.0,39.0,H,1
196,2003.0,2.29,1.17,0.01,0.42,3.9,38.0,121.0,H,1
197,2014.0,0.68,0.48,2.62,0.11,3.89,80.0,348.0,H,1
198,2015.0,2.49,0.66,0.03,0.69,3.88,51.0,364.0,L,0
199,2005.0,0.93,1.94,0.31,0.7,3.87,62.0,229.0,H,1
200,2006.0,1.53,1.6,0.06,0.02,3.87,9.0,220.0,L,0
201,2004.0,0.16,1.89,1.12,0.68,3.85,26.0,38.0,H,1
202,2010.0,2.13,1.12,0.1,0.5,3.84,64.0,104.0,L,0
203,2013.0,1.78,1.43,0.05,0.57,3.83,49.0,1564.0,L,0
204,2007.0,0.86,1.56,1.05,0.35,3.83,22.0,4.0,L,0
205,2008.0,2.4,1.01,0.04,0.36,3.76,60.0,66.0,L,0
206,2002.0,2.03,1.56,0.1,0.02,3.76,21.0,29.0,L,0
207,2013.0,1.33,1.68,0.13,0.57,3.71,36.0,840.0,H,1
208,2004.0,0.58,2.48,0.04,0.59,3.7,27.0,56.0,L,0
209,2002.0,2.13,1.18,0.01,0.35,3.67,27.0,128.0,H,1
210,2007.0,1.58,1.59,0.08,0.41,3.66,15.0,13.0,L,0
211,2005.0,1.65,1.21,0.12,0.79,3.65,34.0,31.0,L,0
212,2002.0,2.53,0.81,0.06,0.24,3.65,42.0,82.0,H,1
213,2001.0,2.08,1.09,0.15,0.33,3.64,35.0,312.0,H,1
214,2007.0,0.05,0.04,0.64,2.93,3.63,10.0,38.0,H,1
215,2005.0,2.08,0.83,0.46,0.25,3.62,38.0,1013.0,L,0
216,2008.0,2.32,0.96,0.04,0.34,3.62,18.0,13.0,H,1
217,2009.0,0.6,2.45,0.05,0.52,3.62,56.0,203.0,H,1
218,2004.0,1.93,1.22,0.03,0.44,3.61,36.0,142.0,H,1
219,2001.0,2.02,1.17,0.14,0.42,3.61,23.0,32.0,L,0
220,2001.0,2.38,0.67,0.46,0.1,3.6,34.0,161.0,H,1
221,2013.0,1.35,1.55,0.17,0.51,3.59,18.0,1580.0,L,0
222,2005.0,0.12,1.02,0.03,0.37,3.59,30.0,268.0,H,1
223,2013.0,0.17,1.39,0.06,0.31,3.59,17.0,10.0,L,0
224,2006.0,1.56,1.4,0.07,0.5,3.54,49.0,112.0,L,0
225,2002.0,1.23,1.77,0.05,0.49,3.54,49.0,88.0,L,0
226,2001.0,1.9,1.13,0.1,0.41,3.53,27.0,48.0,L,0
227,2008.0,2.66,0.49,0.05,0.3,3.5,67.0,1309.0,H,1
228,2014.0,2.27,0.9,0.05,0.33,3.5,59.0,1005.0,L,0
229,2009.0,2.11,0.93,0.04,0.34,3.42,91.0,523.0,L,0
230,2010.0,2.85,0.38,0.03,0.24,3.49,81.0,693.0,H,1
231,2013.0,1.3,0.12,0.27,0.5,3.49,14.0,579.0,L,0
232,2009.0,2.2,0.95,0.04,0.31,3.48,78.0,1080.0,H,1
